source,target,type
30,67,undirected
30,70,undirected
30,73,undirected
30,74,undirected
30,75,undirected
30,76,undirected
30,77,undirected
30,79,undirected
30,80,undirected
30,82,undirected
30,83,undirected
30,84,undirected
30,86,undirected
30,93,undirected
30,99,undirected
31,49,undirected
31,73,undirected
31,74,undirected
31,75,undirected
31,76,undirected
31,77,undirected
31,78,undirected
31,82,undirected
31,91,undirected
32,33,undirected
33,37,undirected
33,38,undirected
33,39,undirected
33,47,undirected
34,35,undirected
34,36,undirected
34,37,undirected
34,38,undirected
34,39,undirected
35,36,undirected
35,37,undirected
35,38,undirected
35,39,undirected
35,40,undirected
35,43,undirected
35,44,undirected
36,41,undirected
36,47,undirected
37,38,undirected
37,47,undirected
38,39,undirected
39,40,undirected
39,42,undirected
40,41,undirected
40,42,undirected
40,44,undirected
40,45,undirected
40,47,undirected
40,53,undirected
40,54,undirected
41,47,undirected
41,54,undirected
42,43,undirected
42,47,undirected
43,56,undirected
45,47,undirected
46,47,undirected
46,102,undirected
47,54,undirected
48,49,undirected
48,57,undirected
49,57,undirected
49,58,undirected
49,72,undirected
49,76,undirected
50,58,undirected
51,52,undirected
51,58,undirected
51,64,undirected
51,65,undirected
51,69,undirected
52,58,undirected
52,64,undirected
53,76,undirected
56,57,undirected
58,64,undirected
58,65,undirected
58,68,undirected
58,69,undirected
58,77,undirected
58,85,undirected
59,60,undirected
59,61,undirected
59,62,undirected
59,63,undirected
59,99,undirected
60,62,undirected
60,63,undirected
60,84,undirected
60,86,undirected
60,99,undirected
61,86,undirected
61,95,undirected
61,101,undirected
62,63,undirected
62,84,undirected
62,99,undirected
62,100,undirected
63,99,undirected
64,65,undirected
64,66,undirected
64,67,undirected
64,68,undirected
64,69,undirected
64,70,undirected
65,67,undirected
65,68,undirected
65,69,undirected
65,85,undirected
66,67,undirected
66,70,undirected
66,72,undirected
66,73,undirected
66,74,undirected
66,76,undirected
66,80,undirected
66,84,undirected
66,85,undirected
66,86,undirected
66,88,undirected
66,89,undirected
66,90,undirected
66,93,undirected
66,96,undirected
66,97,undirected
66,99,undirected
66,100,undirected
67,103,undirected
67,104,undirected
68,71,undirected
69,104,undirected
70,71,undirected
70,72,undirected
70,75,undirected
70,90,undirected
71,72,undirected
71,73,undirected
71,74,undirected
71,75,undirected
71,76,undirected
71,77,undirected
71,78,undirected
71,79,undirected
71,80,undirected
71,81,undirected
71,82,undirected
71,83,undirected
72,73,undirected
72,74,undirected
72,75,undirected
72,76,undirected
72,78,undirected
72,79,undirected
72,80,undirected
72,82,undirected
72,84,undirected
72,85,undirected
72,86,undirected
72,87,undirected
72,88,undirected
72,89,undirected
72,90,undirected
72,91,undirected
72,92,undirected
73,74,undirected
73,75,undirected
73,82,undirected
73,83,undirected
73,84,undirected
73,86,undirected
73,89,undirected
73,92,undirected
73,93,undirected
73,94,undirected
73,95,undirected
73,96,undirected
73,97,undirected
73,98,undirected
73,99,undirected
73,100,undirected
74,75,undirected
74,78,undirected
74,79,undirected
74,82,undirected
74,84,undirected
74,87,undirected
74,88,undirected
74,91,undirected
74,98,undirected
74,99,undirected
75,76,undirected
75,77,undirected
75,78,undirected
75,79,undirected
75,82,undirected
75,83,undirected
75,84,undirected
75,91,undirected
75,92,undirected
76,77,undirected
76,82,undirected
76,83,undirected
76,84,undirected
76,86,undirected
79,84,undirected
79,91,undirected
79,100,undirected
81,84,undirected
81,86,undirected
81,97,undirected
82,84,undirected
83,84,undirected
83,87,undirected
83,100,undirected
84,86,undirected
84,87,undirected
84,88,undirected
84,89,undirected
84,94,undirected
84,96,undirected
84,97,undirected
84,99,undirected
84,100,undirected
84,101,undirected
86,89,undirected
86,93,undirected
86,97,undirected
86,100,undirected
86,101,undirected
87,98,undirected
88,89,undirected
90,91,undirected
90,99,undirected
91,98,undirected
91,100,undirected
93,94,undirected
93,99,undirected
93,102,undirected
94,95,undirected
94,96,undirected
94,101,undirected
94,102,undirected
95,102,undirected
96,97,undirected
96,100,undirected
98,100,undirected
99,100,undirected
100,101,undirected
103,104,undirected
